"Reference","Value","Rating","Description","MFR Number","Manufacturer","Qty"
"C4001,C4002","100uF","100V","Aluminum Electrolytic Capacitors - Radial Leaded 100uF 100V","ECA-1EM100I ","Panasonic","2"
"C4003,C4005","470uF","25V","Aluminum Electrolytic Capacitors - Radial Leaded 470uF 25V","EEU-FC1E471L","Panasonic","2"
"C4004","22pF","250V DC","Multilayer Ceramic Capacitors MLCC - Leaded 22PF 50V 5% 5.0MM","RDE5C1H220J0K1H03B","Murata","1"
"C4006","12pF","250V DC","Multilayer Ceramic Capacitors MLCC - Leaded 250V 22pF C0G 5% LS=5.08mm","C323C120JAG5TA","KEMET","1"
"C4007","22uF","10V","Aluminum Electrolytic Capacitors - Radial Leaded 10VDC 22uF POLARIZED","ECE-A1AKS220I","Panasonic","1"
"C4008,C4010","33pF","250V DC","Multilayer Ceramic Capacitors MLCC - Leaded 250V 33pF C0G 5% LS=5.08mm","C323C330JAG5TA","KEMET","2"
"C4009,C4011","100uF","10V","Aluminum Electrolytic Capacitors - Radial Leaded 100uF 10V","ECE-A1AKA101","Panasonic","2"
"C4012","0.1uF","63V DC","Film Capacitors 0.1 uF 63 VDC 5%","MKS2C031001A00JI00","WIMA","1"
"C4013","0.1uF","250V DC","Film Capacitors 0.1 uF 250 VDC 20%","MKS2F031001E00MSSD ","WIMA","1"
"CNT4001,CNT4002,CNT4003,CNT4004,CNT4006,CNT4007","2376582-2","","250 FASTON PCB TAB TPBR","2376582-2","TE Connectivity","6"
"CNT4005,CNT4008","22-27-2021","","Headers & Wire Housings 2 POS HEADER","22-27-2021","Molex","2"
"D4001,D4002,D4003,D4004,D4005,D4006","1N4148","","Small Signal Switching Diodes Small Signal Diode, DO-35, 100V, 0.2A, 175C","1N4148","Diotec Semiconductor","6"
"D4007,D4008","1N4007","","Rectifiers Diode, DO-41, 1000V, 1A","1N4007","Diotec Semiconductor","2"
"L4001","1uH","","Air Core Inductor, 16 windings, D = 8 mm, enameled wire diameter = 1.2 mm","","","1"
"Q4001,Q4002,Q4003,Q4008","2N5401","","Bipolar Transistors - BJT PNP 160Vcbo 150Vceo 5.0Vebo 600mA 625mW","2N5401 TIN/LEAD","Central Semiconductor ","4"
"Q4004,Q4005,Q4006,Q4007,Q4009,Q4010","2N5551","","Bipolar Transistors - BJT NPN 180Vcbo 160Vceo 6.0Vebo 600mA 625mW\","2N5551 TIN/LEAD","Central Semiconductor ","6"
"Q4011","MJE15034G","","Bipolar Transistors - BJT 4A 350V 50W NPN","MJE15034G","onsemi","1"
"Q4012","MJE15035G","","Bipolar Transistors - BJT 4A 350V 50W PNP","MJE15035G","onsemi","1"
"Q4013,Q4014,Q4015","2SC5200","","Bipolar Transistors - BJT NPN 230V 15A","2SC5200-O(Q)","Toshiba","3"
"Q4016,Q4017,Q4018","2SA1943","","Bipolar Transistors - BJT PNP 230V 15A","2SA1943-O(Q)","Toshiba","3"
"R4001","10R","0.25W","Metal Film Resistors - Through Hole 10 OHM 1/4W 1%","MFR-25FRE52-10R","YAGEO","1"
"R4002","22K","0.25W","Metal Film Resistors - Through Hole 22K OHM 1/4W 1%","MFR-25FRE52-22K","YAGEO","1"
"R4003","330R","0.25W","Metal Film Resistors - Through Hole 330 OHM 1/4W 1%","MFR-25FRE52-330R","YAGEO","1"
"R4004,R4005","27R","0.25W","Metal Film Resistors - Through Hole 27 OHM 1/4W 1%","MFR-25FRE52-27R","YAGEO","2"
"R4006","1.8K","0.25W","Metal Film Resistors - Through Hole 1.8K OHM 1/4W 1%","MFR-25FRE52-1K8","YAGEO","1"
"R4007,R4008","30K","0.25W","Metal Film Resistors - Through Hole 30K OHM 1/4W 1%","MFR-25FRE52-30K","YAGEO","2"
"R4009,R4010","620R","0.25W","Metal Film Resistors - Through Hole 620 OHM 1/4W 1%","MFR-25FRE52-620R","YAGEO","2"
"R4011,R4012","56R","0.25W","Metal Film Resistors - Through Hole 56 OHM 1/4W 1%","MFR-25FRE52-56R","YAGEO","2"
"R4013,R4018","180R","0.25W","Metal Film Resistors - Through Hole 180 OHM 1/4W 1%","MFR-25FRE52-180R","YAGEO","2"
"R4014,R4016,R4017","680R","0.25W","Metal Film Resistors - Through Hole 680 OHM 1/4W 1%","MFR-25FRE52-680R","YAGEO","3"
"R4015","18K","0.25W","Metal Film Resistors - Through Hole 18K OHM 1/4W 1%","MFR-25FRE52-18K","YAGEO","1"
"R4019,R4021","130R","0.25W","Metal Film Resistors - Through Hole 100 OHM 1/4W 1%","MFR-25FRE52-100R","YAGEO","2"
